国名,2019名目DGP,2019実質GDP,2019一人当たりGDP,2019GDP成長率,2019一人当たりDGP成長率,2019消費者物価上昇率,2019総貯蓄,2019GDPデフレーター,2020名目DGP,2020実質GDP,2020一人当たりGDP,2020GDP成長率,2020一人当たりDGP成長率,2020消費者物価上昇率,2020総貯蓄,2020GDPデフレーター
Other small states,4.33E+11,4.03E+11,13799.29553,2.182099823,0.224727063,1.642060018,35.74723828,0.967708839,3.77E+11,3.83E+11,11792.06642,-5.119713549,-6.809513085,1.833883503,31.22288738,0.352381697
Pakistan,3.21E+11,3.24E+11,1481.813864,2.497636929,0.444975728,10.5783618,11.37499378,9.036334842,3.00E+11,3.20E+11,1359.514522,-1.329519732,-3.26235528,9.739993139,14.71040731,9.962567468
Panama,66984427200,64006593361,15774.25495,2.979715328,1.292536242,-0.355083821,28.96788896,0.179926754,53977037000,52520697170,12509.83529,-17.9448641,-19.24427656,-1.550275408,26.34747029,-1.795944347
Peru,2.28E+11,2.15E+11,7023.077526,2.240631769,0.601543694,2.252121914,20.55116382,1.872216268,2.02E+11,1.91E+11,6117.493571,-10.95269893,-12.19876201,2.002412058,19.61825433,3.892674145
Philippines,3.77E+11,3.96E+11,3485.340844,6.118525662,4.680376447,2.392065344,31.75518964,0.697076297,3.62E+11,3.59E+11,3301.218603,-9.518294741,-10.7275099,2.393162393,24.81817397,1.650490187
Poland,5.97E+11,5.70E+11,15732.20313,4.744950156,4.770539442,2.227478809,20.05104422,3.193977984,5.97E+11,5.56E+11,15742.45373,-2.540658682,-2.369894926,3.374469726,20.1056948,4.103890814
Pre-demographic dividend,1.39E+12,1.46E+12,1474.823822,3.187896256,0.412166518,2.377587328,25.60379897,3.000011819,1.31E+12,1.42E+12,1349.15316,-2.44341551,-5.045430749,3.542356689,24.82674495,2.499981967
Portugal,2.40E+11,2.22E+11,23330.81729,2.682759409,2.658392093,0.33817841,18.39227843,1.749452748,2.29E+11,2.04E+11,22194.56611,-8.442455971,-8.53864532,-0.01243833,17.30730059,1.941873304
Paraguay,37925338329,40676916123,5383.574422,-0.401855101,-1.65407082,2.757097276,21.86312329,3.061879455,35432178068,40343452708,4967.687212,-0.819785391,-2.041939135,1.767515924,22.85030834,2.203921468
West Bank and Gaza,17133500000,15829000000,3656.858271,1.362687466,-1.151613665,1.580183336,16.85982014,3.849469301,15531700000,14037400000,3233.568638,-11.31846611,-13.49638697,-0.735332001,12.17484654,2.220901833
Pacific island small states,10644265612,10117917318,4271.583766,0.790553882,-0.687483334,1.359307405,18.00733776,1.43248276,9573379122,9158160682,3785.503406,-9.485713378,-10.8128488,0.218181818,20.50891893,1.80073071
Post-demographic dividend,5.09E+13,4.83E+13,45728.10123,1.706387737,1.420351076,1.619631902,23.23965948,1.967206286,4.95E+13,4.61E+13,44330.3117,-4.671960192,-5.024775756,0.632267332,22.67648847,1.578870403
Qatar,1.76E+11,1.68E+11,62087.97413,0.774808391,-1.018205209,-0.666641125,45.00292882,-4.82686573,1.44E+11,1.61E+11,50124.38594,-3.640449805,-5.278929394,-2.54031503,39.57896537,-14.76951151
Romania,2.50E+11,2.17E+11,12899.34611,4.188260341,4.73858787,3.827854326,18.73997238,6.795538042,2.50E+11,2.09E+11,12956.56625,-3.747907695,-3.177478128,2.631073112,19.43903965,3.889224536
Russian Federation,1.69E+12,1.46E+12,11536.25098,2.198075741,2.078811309,4.470366608,26.53727743,3.263132791,1.49E+12,1.42E+12,10161.98242,-2.683296216,-2.771565332,3.381659372,26.33446291,0.607605206
Rwanda,10356327149,11182897052,820.1772393,9.460597561,6.643501213,3.34787655,11.4266429,2.480135755,10184345442,10807279944,786.3018148,-3.35885332,-5.785818668,9.850399023,12.39346913,6.727420087
South Asia,3.65E+12,3.42E+12,1987.56834,3.913844396,2.70693016,3.628949659,28.36322627,3.105901995,3.48E+12,3.24E+12,1875.441391,-5.23983299,-6.316892747,5.691074747,27.70779923,4.78037483
Saudi Arabia,8.04E+11,6.79E+11,23450.56202,0.333780755,-1.322725826,-2.093333333,33.89475919,-1.914794421,7.03E+11,6.51E+11,20203.66888,-4.137670376,-5.63929532,3.44545826,24.56037839,-8.696839516
Sudan,32338079165,84304404771,755.3289795,-2.178251045,-4.489843428,50.9940515,34.37104832,51.97889335,26987563444,81244318743,615.4620972,-3.629805626,-5.906755904,150.3227239,30.58010578,115.2777685
Singapore,3.75E+11,3.50E+11,65831.18943,1.095672567,-0.054554857,0.565260569,39.90292465,-0.359222235,3.45E+11,3.35E+11,60729.45035,-4.143105621,-3.843656456,-0.181916667,40.18784295,-2.972168094
Solomon Islands,1570093229,1533574545,2344.048976,1.204469119,-1.358803484,1.63485544,2.841637353,1.262467419,1545888426,1467328739,2250.601164,-4.319699119,-6.695694408,2.963549921,6.420853479,3.407108154
Sierra Leone,4076578543,5076711739,521.7548367,5.254241203,3.057634091,14.80305857,-2.434360546,7.702269014,4063289450,4976753934,509.376594,-1.96894782,-3.981654333,13.4469773,0.317208289,10.91548159
El Salvador,26896660000,25772439480,4167.730939,2.382581398,1.862065946,0.075324135,16.24928046,0.960338639,24638720000,23560825997,3798.636521,-8.581312158,-9.041506281,-0.371590212,18.50569447,0.203941699
Serbia,51514222382,45615675380,7417.203649,4.331734906,4.893094256,1.849229845,18.28236554,2.440600408,53335016425,45184791299,7730.691746,-0.944596516,-0.282578515,1.575532901,20.57406578,2.449981748
Sub-Saharan Africa (excluding high income),1.79E+12,1.84E+12,1617.541932,2.551301992,-0.101980038,2.781106312,21.05549243,2.85603412,1.70E+12,1.80E+12,1500.852648,-1.986754241,-4.496565581,3.542356689,23.10063068,3.604196115
Sub-Saharan Africa,1.79E+12,1.84E+12,1618.920771,2.551782508,-0.101357905,2.77698537,21.04913195,2.668084938,1.71E+12,1.80E+12,1501.779422,-1.991922305,-4.501456,3.794422749,23.07798876,3.563039775
Small states,5.20E+11,4.88E+11,12615.13255,1.986568598,0.306138667,1.46798976,34.39075633,1.524373818,4.52E+11,4.59E+11,10787.66873,-5.855938477,-7.308834257,0.615892758,30.20094665,0.466178569
Slovak Republic,1.05E+11,99088126486,19303.54566,2.605369328,2.466609371,2.664561334,21.03062709,2.493487709,1.05E+11,94769119000,19266.51357,-4.358753808,-4.440749635,1.936941267,18.41850583,2.368618962
Slovenia,54178877606,50270105179,25942.95477,3.250531336,2.534090905,1.630522608,26.70118133,2.199603922,53589609581,48144051030,25489.50023,-4.229261389,-4.868547157,-0.054856816,27.46406966,1.225815764
Sweden,5.34E+11,5.50E+11,51939.42974,1.986195874,0.957561656,1.784150974,30.37007904,2.546875481,5.41E+11,5.34E+11,52300.2062,-2.94418192,-3.643079592,0.497367319,30.81210569,1.761188885
Seychelles,1684228529,1658644720,17252.02078,3.087480983,2.176192931,2.074764365,13.20677589,0.722329996,1200634489,1530539000,12193.88687,-7.723517801,-8.507936314,8.276858114,-4.619156852,-3.020354158
East Asia & Pacific (IDA & IBRD countries),1.72E+13,1.71E+13,8268.375718,5.780113164,5.173916244,1.857838416,41.59863899,1.43248276,1.75E+13,1.73E+13,8361.938147,1.293597741,0.800081201,2.393162393,41.43800683,1.614916538
Europe & Central Asia (IDA & IBRD countries),4.16E+12,4.10E+12,9026.080646,2.721325849,2.309848435,2.643281927,24.84665298,3.658054407,3.88E+12,4.03E+12,8406.890911,-1.661776483,-1.940934089,2.681782603,24.724486,3.169603142
Togo,7220395248,5098275352,893.3524541,5.459921448,2.938181662,0.685897591,19.77522995,1.545092656,7574636979,5187639195,914.9507925,1.752824967,-0.660830191,1.827540385,22.3543543,1.282158196
Thailand,5.44E+11,4.60E+11,7814.384431,2.151656122,1.862439871,0.706728601,31.66646837,0.997091607,5.00E+11,4.32E+11,7158.766684,-6.19548916,-6.429862088,-0.845937147,27.98517502,-1.318658155
Latin America & the Caribbean (IDA & IBRD countries),5.37E+12,5.37E+12,8519.254425,0.723886005,-0.22589469,2.091638622,16.85983248,3.057611072,4.50E+12,5.01E+12,7062.47559,-6.583224555,-7.441533893,1.767515924,18.32999254,1.744986282
Tonga,512350059.4,486181549.6,4903.012138,0.734030017,-0.517228593,1.179543348,25.61430686,7.662577839,488829964.1,489364573.4,4624.823449,0.654698596,-0.488055109,-0.349737697,15.62008132,-3.617420728
South Asia (IDA & IBRD),3.65E+12,3.42E+12,1987.56834,3.913844396,2.70693016,3.628949659,28.36322627,3.105901995,3.48E+12,3.24E+12,1875.441391,-5.23983299,-6.316892747,5.691074747,27.70779923,4.78037483
Sub-Saharan Africa (IDA & IBRD countries),1.79E+12,1.84E+12,1618.920771,2.551782508,-0.101357905,2.77698537,21.04913195,2.668084938,1.71E+12,1.80E+12,1501.779422,-1.991922305,-4.501456,3.794422749,23.07798876,3.563039775
Tunisia,41772900763,49212159863,3571.945048,1.322363089,0.200226886,6.720075329,10.68103089,7.074468263,42514151614,44913489643,3597.218525,-8.73497573,-9.691725725,5.634151159,5.413615382,6.878976039
Turkiye,7.61E+11,9.97E+11,9121.515167,0.889585161,-0.427943737,15.17682157,26.05515666,13.85934632,7.20E+11,1.02E+12,8536.43332,1.793551396,0.695873101,12.27895745,26.79607575,14.82641101
Tanzania,61136873692,60318543761,1085.884888,5.799999977,2.719336486,3.46428058,35.62466116,2.46494913,62409709111,61522709092,1076.469727,1.996343506,-0.950176518,3.290290628,34.62211259,0.343712899
Uganda,35353060634,39600047204,798.5857341,6.438745034,2.734740728,2.86909425,22.68419643,3.000011819,37600368181,40768765940,822.0276815,2.951306422,-0.360468368,3.794422749,22.18245295,2.721484443
Ukraine,1.54E+11,1.02E+11,3661.456299,3.199503864,3.793718934,7.886717456,12.28500851,8.246226266,1.57E+11,98118346734,3751.740723,-3.7528041,-3.350528266,2.732492094,12.2195581,10.29494428
Upper middle income,2.37E+13,2.36E+13,9548.200238,4.093769224,3.490765795,2.087230892,33.34291289,2.546205387,2.28E+13,2.34E+13,9166.460854,-0.597241944,-1.071391724,1.646663793,33.60468474,1.356488304
Uruguay,61231149881,55513344382,17688.01501,0.350447153,-0.010198984,7.881988709,16.00845692,8.522966926,53560755047,52115108175,15418.81531,-6.121476278,-6.445671809,9.756406361,16.48052619,11.03737152
United States,2.14E+13,1.99E+13,65094.79943,2.288869868,1.824124482,1.812210075,19.54996298,1.788715507,2.09E+13,1.92E+13,63027.67953,-3.404589652,-4.328617754,1.233584396,19.30343854,1.205234686
Vanuatu,936526267.6,864184647.1,3122.982599,3.241187655,0.760014262,2.762520194,48.66137898,3.27936283,896827873.1,817502074.6,2919.8368,-5.401921061,-7.640367545,5.329350731,44.68971894,1.80073071
World,8.77E+13,8.47E+13,11407.47933,2.614882119,1.531947169,2.186901545,26.41467174,2.409897786,8.49E+13,8.19E+13,10936.05747,-3.271218833,-4.269490659,1.920968006,25.93553492,1.761738477
Kosovo,7899879086,7547420630,4416.108358,4.756830619,5.237433159,2.675992026,28.87963341,0.962931178,7716925356,7144367590,4310.811183,-5.340275302,-5.406637944,0.198227923,26.58390267,1.381106984
South Africa,3.88E+11,3.59E+11,6624.761865,0.113053697,-1.196091441,4.12024587,13.46573708,4.49944874,3.35E+11,3.36E+11,5655.867654,-6.431974826,-7.615875502,3.210035975,14.64908504,5.273229664
Zambia,23308667781,24089861649,1305.001031,1.441306026,-1.451364465,9.150316443,39.71439324,7.633470481,18110631358,23418945737,985.132436,-2.785055065,-5.550283259,15.73258514,45.21786987,13.74350216
Zimbabwe,19284289739,20720841373,1316.740657,-6.144236314,-7.46862686,255.3049908,11.83019724,440.829791,18051170799,19426048166,1214.50982,-6.248748224,-7.620388191,557.2018174,12.45627008,558.5600237
